id,loc
7607336,"УБ — Баянгол, 3, 4 хороолол"
7613746,"УБ — Сүхбаатар, Дөлгөөн нуур"
7532812,"УБ — Сонгинохайрхан, 1-р хороолол"
7602295,"УБ — Сүхбаатар, Сүхбаатар, Хороо 11"
7506204,"УБ — Баянгол, 3, 4 хороолол"
7308003,УБ — Сүхбаатар
7555043,"УБ — Сонгинохайрхан, 1-р хороолол"
7602225,"УБ — Баянгол, Баянгол, Хороо 14"
7607730,"УБ — Баянгол, 3, 4 хороолол"
7615694,"УБ — Баянгол, 3, 4 хороолол"
7615694,"УБ — Баянгол, 3, 4 хороолол"
7615694,"УБ — Баянгол, 3, 4 хороолол"
7615694,"УБ — Баянгол, 3, 4 хороолол"
7567711,"УБ — Сонгинохайрхан, 1-р хороолол"
7607415,"УБ — Баянзүрх, 15-р хороолол"
7526083,"УБ — Баянгол, 3, 4 хороолол"
7608334,"УБ — Баянгол, 6-р бичил"
7464805,УБ — Сүхбаатар
7555596,"УБ — Баянгол, Баянгол, Хороо 17"
7539014,"УБ — Баянгол, 3, 4 хороолол"
7262534,"УБ — Баянгол, 3, 4 хороолол"
7515138,"УБ — Баянгол, 3, 4 хороолол"
7519347,УБ — Сүхбаатар
7558345,"УБ — Сонгинохайрхан, Сонгинохайрхан, Хороо 17"
7262534,"УБ — Баянгол, 3, 4 хороолол"
7587185,УБ — Сүхбаатар
7607837,УБ — Сүхбаатар
7516159,"УБ — Баянгол, 3, 4 хороолол"
7351642,"УБ — Баянгол, 3, 4 хороолол"
7550916,"УБ — Сонгинохайрхан, 1-р хороолол"
7532045,"УБ — Баянзүрх, 15-р хороолол"
7541535,"УБ — Баянгол, 3, 4 хороолол"
7538594,"УБ — Баянгол, 3, 4 хороолол"
7394381,"УБ — Баянгол, 3, 4 хороолол"
7578604,"УБ — Баянгол, 3, 4 хороолол"
7544527,"УБ — Баянгол, 3, 4 хороолол"
7531494,"УБ — Баянгол, Баянгол, Хороо 15"
7531494,"УБ — Баянгол, Баянгол, Хороо 15"
7393162,УБ — Сүхбаатар
7564072,"УБ — Сүхбаатар, 5-р хороолол"
7553310,"УБ — Баянгол, 3, 4 хороолол"
7496625,УБ — Сүхбаатар
7635292,"УБ — Сүхбаатар, 5-р хороолол"
7307095,"УБ — Баянзүрх, 13-р хороолол"
7601853,"УБ — Баянзүрх, 13-р хороолол"
7601853,"УБ — Баянзүрх, 13-р хороолол"
7540084,"УБ — Сүхбаатар, Сүхбаатар, Хороо 5"
7530031,УБ — Сүхбаатар
7615523,УБ — Сүхбаатар
7527968,"УБ — Сүхбаатар, 11-р хороолол"
7542006,"УБ — Сүхбаатар, Сүхбаатар, Хороо 4"
