id,loc
7367014,УБ — Сүхбаатар
7000306,"УБ — Сонгинохайрхан, 21-р хороолол"
7583908,УБ — Сүхбаатар
7548450,УБ — Сүхбаатар
7618484,"УБ — Баянгол, Алтай хотхон"
7625467,"УБ — Баянгол, Нарны хороолол"
7471502,"УБ — Баянзүрх, 13-р хороолол"
7626401,УБ — Сүхбаатар
7602268,"УБ — Баянзүрх, 14-р хороолол"
7611135,"УБ — Сонгинохайрхан, 21-р хороолол"
7627780,УБ — Сүхбаатар
7594639,"УБ — Баянзүрх, 13-р хороолол"
7233148,"УБ — Баянзүрх, Баянзүрх, Хороо 2"
7593771,"УБ — Баянгол, Алтай хотхон"
7566582,"УБ — Баянзүрх, Баянзүрх, Хороо 5"
7569765,"УБ — Хан-Уул, 19-р хороолол"
7462366,УБ — Сүхбаатар
6509090,"УБ — Хан-Уул, Viva city"
5224289,УБ — Хан-Уул
7628717,"УБ — Баянгол, 10-р хороолол"
7571280,"УБ — Хан-Уул, Хан-Уул, Хороо 15"
7584271,"УБ — Хан-Уул, Хан-Уул, Хороо 15"
6462506,УБ — Хан-Уул
7547977,УБ — Сүхбаатар
7490801,"УБ — Хан-Уул, Зайсан"
7210202,"УБ — Баянзүрх, Баянзүрх, Хороо 5"
7569947,"УБ — Сүхбаатар, Сүхбаатар, Хороо 8"
7219085,"УБ — Баянгол, Алтай хотхон"
7623138,"УБ — Баянзүрх, Баянзүрх, Хороо 26"
7266991,"УБ — Баянзүрх, Сансар"
7515833,"УБ — Баянзүрх, Баянзүрх, Хороо 2"
7628575,"УБ — Сүхбаатар, 11-р хороолол"
7120888,"УБ — Баянзүрх, 13-р хороолол"
7601942,"УБ — Хан-Уул, Зайсан"
7437675,УБ — Сүхбаатар
7535672,"УБ — Сонгинохайрхан, 21-р хороолол"
6693720,"УБ — Баянгол, 3, 4 хороолол"
7601958,УБ — Сүхбаатар
7601958,"УБ — Хан-Уул, Зайсан"
7601958,"УБ — Хан-Уул, Зайсан"
7461822,"УБ — Баянзүрх, 13-р хороолол"
7461822,"УБ — Баянзүрх, 13-р хороолол"
7500380,УБ — Сүхбаатар
7126970,"УБ — Баянзүрх, Зүүн 4 зам"
7581247,УБ — Сүхбаатар
7595425,"УБ — Баянзүрх, Olympic village"
7630328,"УБ — Баянзүрх, Olympic village"
7540260,УБ — Сүхбаатар
7520529,"УБ — Хан-Уул, Нисэх"
7619176,"УБ — Чингэлтэй, Баянбүрд"
7602464,УБ — Сүхбаатар
7602464,УБ — Сүхбаатар
7602464,УБ — Сүхбаатар
7565872,"УБ — Баянгол, Нарны хороолол"
7608380,УБ — Сүхбаатар
7539386,"УБ — Баянзүрх, Сансар"
7554219,"УБ — Баянгол, 3, 4 хороолол"
7610221,"УБ — Баянгол, Нарны хороолол"
7610221,"УБ — Баянгол, Нарны хороолол"
7632903,"УБ — Сүхбаатар, Сүхбаатар, Хороо 7"
7610221,"УБ — Баянгол, Нарны хороолол"
7610221,"УБ — Баянгол, Нарны хороолол"
7568614,"УБ — Сүхбаатар, 100 айл"
7597609,"УБ — Сонгинохайрхан, Сонгинохайрхан, Хороо 12"
7608352,"УБ — Сүхбаатар, 220 мянгат"
7554684,"УБ — Хан-Уул, Хан-Уул, Хороо 3"
7624158,"УБ — Сонгинохайрхан, 21-р хороолол"
7627081,"УБ — Хан-Уул, Зайсан"
7601874,"УБ — Хан-Уул, Зайсан"
7607044,"УБ — Баянгол, 10-р хороолол"
7593071,УБ — Сүхбаатар
7256660,"УБ — Хан-Уул, Нисэх"
7568088,"УБ — Баянгол, 3, 4 хороолол"
7605741,"УБ — Баянгол, 3, 4 хороолол"
7628947,"УБ — Баянзүрх, Баянзүрх, Хороо 26"
7581619,"УБ — Баянзүрх, Баянзүрх, Хороо 25"
7581619,"УБ — Баянзүрх, Баянзүрх, Хороо 25"
7554514,"УБ — Хан-Уул, Зайсан"
7560750,"УБ — Хан-Уул, Хан-Уул, Хороо 3"
7602464,УБ — Сүхбаатар
7518511,"УБ — Баянзүрх, 13-р хороолол"
7534533,"УБ — Баянгол, 3, 4 хороолол"
7445502,"УБ — Баянгол, 3, 4 хороолол"
7630700,УБ — Сүхбаатар
7600325,УБ — Сүхбаатар
7633510,"УБ — Баянгол, Баянгол, Хороо 11"
7453068,"УБ — Баянгол, 10-р хороолол"
7357764,"УБ — Баянзүрх, 13-р хороолол"
7589794,"УБ — Баянзүрх, Olympic village"
7626336,УБ — Сүхбаатар
7623856,"УБ — Хан-Уул, 19-р хороолол"
7547652,УБ — Сүхбаатар
7562112,"УБ — Сүхбаатар, Сүхбаатар, Хороо 11"
7574281,"УБ — Баянзүрх, 13-р хороолол"
7487863,"УБ — Баянзүрх, Баянзүрх, Хороо 14"
7622275,"УБ — Баянзүрх, Баянзүрх, Хороо 26"
7574939,"УБ — Баянзүрх, Баянзүрх, Хороо 26"
7095122,"УБ — Баянзүрх, 15-р хороолол"
7625015,УБ — Сүхбаатар
7625015,УБ — Сүхбаатар
7637066,"УБ — Баянгол, Баянгол, Хороо 17"
7339668,УБ — Сүхбаатар
7557493,"УБ — Баянгол, 10-р хороолол"
7567549,"УБ — Баянзүрх, Olympic village"
7593149,"УБ — Баянгол, Баянгол, Хороо 6"
7612856,УБ — Сүхбаатар
7616426,УБ — Сүхбаатар
7551722,"УБ — Баянгол, Нарны хороолол"
7633627,"УБ — Баянгол, Нарны хороолол"
7551722,"УБ — Баянгол, Нарны хороолол"
7551722,"УБ — Баянгол, Нарны хороолол"
7633627,"УБ — Баянгол, Нарны хороолол"
7567549,"УБ — Баянзүрх, Olympic village"
7254127,"УБ — Баянгол, 3, 4 хороолол"
7560429,УБ — Сүхбаатар
7526851,УБ — Баянзүрх
7560429,УБ — Сүхбаатар
7552672,"УБ — Баянзүрх, Олимп хотхон"
7553133,"УБ — Баянзүрх, Олимп хотхон"
7597308,"УБ — Сонгинохайрхан, 21-р хороолол"
7606377,"УБ — Сүхбаатар, Marshall town"
7621497,"УБ — Хан-Уул, Яармаг"
7373450,"УБ — Хан-Уул, Зайсан"
7619273,"УБ — Баянзүрх, 13-р хороолол"
